nome_oficial,nome_urna,partido,cidade,ano,votos,link
CRISTIANE ARAUJO PEDRO DE OLIVEIRA,PROFESSORA CRIS,PSD,ARUJÁ,2024,664,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_cristiane_araujo_pedro_de_oliveira_aruja_2024.html
DANILO DA SILVA SANTOS,PROFESSOR DANILO,PSD,ARUJÁ,2024,2005,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_danilo_da_silva_santos_aruja_2024.html
TIAGO SOUZA SANTANA,TIAGO URSÃO,MDB,ARUJÁ,2024,557,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_tiago_souza_santana_aruja_2024.html
UELTON DE SOUZA ALMEIDA,UELTON ALMEIDA,UNIÃO,ARUJÁ,2024,1716,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_uelton_de_souza_almeida_aruja_2024.html
ADAUTO CARDOSO DOS SANTOS,ADAUTO CARDOSO,PL,BIRITIBA MIRIM,2024,500,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_adauto_cardoso_dos_santos_biritiba_mirim_2024.html
CLEITON DA COSTA VIANA,CLEITINHO,PSB,BIRITIBA MIRIM,2024,168,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_cleiton_da_costa_viana_biritiba_mirim_2024.html
LUCILÉIA DAMASCENA SANTOS,LUCILÉIA DO VALDIVINO,PODE,BIRITIBA MIRIM,2024,404,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_lucileia_damascena_santos_biritiba_mirim_2024.html
THÁIS BARROS MOLINA,THÁIS RAPOSINHA,PL,BIRITIBA MIRIM,2024,480,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_thais_barros_molina_biritiba_mirim_2024.html
JOSÉ RUI LEITE AZEVEDO HUMMEL MENDONÇA,ZÉ RUI MENDONÇA,UNIÃO,CACHOEIRA PAULISTA,2024,281,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_jose_rui_leite_azevedo_hummel_mendonca_cachoeira_paulista_2024.html
THÁLITHA MICHELLE DOS SANTOS ESTEVAM BARBOZA,THÁLITHA BARBOZA,PT,CACHOEIRA PAULISTA,2024,404,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_thalitha_michelle_dos_santos_estevam_barboza_cachoeira_paulista_2024.html
