CRISTIANE ARAUJO PEDRO DE OLIVEIRA | ARUJÁ | PSD | 664 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_cristiane_araujo_pedro_de_oliveira_aruja_2024.html
DANILO DA SILVA SANTOS | ARUJÁ | PSD | 2005 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_danilo_da_silva_santos_aruja_2024.html
TIAGO SOUZA SANTANA | ARUJÁ | MDB | 557 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_tiago_souza_santana_aruja_2024.html
UELTON DE SOUZA ALMEIDA | ARUJÁ | UNIÃO | 1716 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_uelton_de_souza_almeida_aruja_2024.html
ADAUTO CARDOSO DOS SANTOS | BIRITIBA MIRIM | PL | 500 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_adauto_cardoso_dos_santos_biritiba_mirim_2024.html
CLEITON DA COSTA VIANA | BIRITIBA MIRIM | PSB | 168 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_cleiton_da_costa_viana_biritiba_mirim_2024.html
LUCILÉIA DAMASCENA SANTOS | BIRITIBA MIRIM | PODE | 404 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_lucileia_damascena_santos_biritiba_mirim_2024.html
THÁIS BARROS MOLINA | BIRITIBA MIRIM | PL | 480 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_thais_barros_molina_biritiba_mirim_2024.html
JOSÉ RUI LEITE AZEVEDO HUMMEL MENDONÇA | CACHOEIRA PAULISTA | UNIÃO | 281 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_jose_rui_leite_azevedo_hummel_mendonca_cachoeira_paulista_2024.html
THÁLITHA MICHELLE DOS SANTOS ESTEVAM BARBOZA | CACHOEIRA PAULISTA | PT | 404 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_thalitha_michelle_dos_santos_estevam_barboza_cachoeira_paulista_2024.html
ALEXANDRO SANTOS ALVES SILVA | FERRAZ DE VASCONCELOS | MDB | 1377 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_alexandro_santos_alves_silva_ferraz_de_vasconcelos_2024.html
CLAUDIO RAMOS MOREIRA | FERRAZ DE VASCONCELOS | PT | 1161 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_claudio_ramos_moreira_ferraz_de_vasconcelos_2024.html
ELIEL DE SOUZA | FERRAZ DE VASCONCELOS | REPUBLICANOS | 1489 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_eliel_de_souza_ferraz_de_vasconcelos_2024.html
ANDRÉ APARECIDO ALVES DE ARAUJO | GUARAREMA | PL | 682 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_andre_aparecido_alves_de_araujo_guararema_2024.html
IRINEU CLÁUDIO LEITE | GUARAREMA | DC | 1046 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_irineu_claudio_leite_guararema_2024.html
MARIA DE FATIMA SOARES PEREIRA DE SOUZA | GUARAREMA | AGIR | 598 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_maria_de_fatima_soares_pereira_de_souza_guararema_2024.html
VANESSA MARTINS DOS SANTOS | GUARAREMA | AGIR | 622 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_vanessa_martins_dos_santos_guararema_2024.html
MARCELO AUGUSTO DE ASSIS | GUARATINGUETÁ | PSD | 1546 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_marcelo_augusto_de_assis_guaratingueta_2024.html
PAULO DOS SANTOS | GUARATINGUETÁ | PP | 158 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_paulo_dos_santos_guaratingueta_2024.html
