nome_oficial,nome_urna,partido,cidade,ano,votos,link
CAIO GUILHERME FERREIRA MELO,CAIO MÃOS SOLIDÁRIAS,UNIÃO,ARUJÁ,2024,1441,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_caio_guilherme_ferreira_melo_aruja_2024.html
CRISTIANE ARAUJO PEDRO DE OLIVEIRA,PROFESSORA CRIS,PSD,ARUJÁ,2024,664,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_cristiane_araujo_pedro_de_oliveira_aruja_2024.html
DANILO DA SILVA SANTOS,PROFESSOR DANILO,PSD,ARUJÁ,2024,2005,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_danilo_da_silva_santos_aruja_2024.html
LEANDRO FRANCO LARINI,LEANDRO LARINI,PL,ARUJÁ,2024,1251,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_leandro_franco_larini_aruja_2024.html
PAULO HENRIQUE MAIOLINO,PAULINHO MAIOLINO,PSD,ARUJÁ,2024,798,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_paulo_henrique_maiolino_aruja_2024.html
ROBERTO DANIEL DUARTE,RENAN DE ARUJA,PODE,ARUJÁ,2024,363,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_roberto_daniel_duarte_aruja_2024.html
ROBERTO MARQUES DA SILVA,ROBERTO MARQUES ROBERTINHO,PSD,ARUJÁ,2024,857,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_roberto_marques_da_silva_aruja_2024.html
TIAGO SOUZA SANTANA,TIAGO URSÃO,MDB,ARUJÁ,2024,557,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_tiago_souza_santana_aruja_2024.html
GENIVALDO LEITE DA CUNHA,CUNHA,DC,BIRITIBA MIRIM,2024,203,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_genivaldo_leite_da_cunha_biritiba_mirim_2024.html
JUNIEL DA COSTA CAMILO,JUKA,PL,BIRITIBA MIRIM,2024,278,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_juniel_da_costa_camilo_biritiba_mirim_2024.html
LUCILÉIA DAMASCENA SANTOS,LUCILÉIA DO VALDIVINO,PODE,BIRITIBA MIRIM,2024,404,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_lucileia_damascena_santos_biritiba_mirim_2024.html
MARCOS PAULO DE ALMEIDA,MARQUINHOS TUCANINHO,PL,BIRITIBA MIRIM,2024,367,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_marcos_paulo_de_almeida_biritiba_mirim_2024.html
THÁIS BARROS MOLINA,THÁIS RAPOSINHA,PL,BIRITIBA MIRIM,2024,480,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_thais_barros_molina_biritiba_mirim_2024.html
ANDRÉ LUIZ DE ARAÚJO,DEDÉ DA VILA,PP,CACHOEIRA PAULISTA,2024,66,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_andre_luiz_de_araujo_cachoeira_paulista_2024.html
BRUNO DE OLIVEIRA PEREIRA,BRUNO OLIVEIRA,PSD,CACHOEIRA PAULISTA,2024,43,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_bruno_de_oliveira_pereira_cachoeira_paulista_2024.html
CARLOS ALBERTO CLEMENTE BUCHOLZ,CARLINHOS DO GESSO,PODE,CACHOEIRA PAULISTA,2024,259,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_carlos_alberto_clemente_bucholz_cachoeira_paulista_2024.html
ALEXANDRO SANTOS ALVES SILVA,TETECO ALEXANDRO,MDB,FERRAZ DE VASCONCELOS,2024,1377,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_alexandro_santos_alves_silva_ferraz_de_vasconcelos_2024.html
ELIEL DE SOUZA,ELIEL FOX,REPUBLICANOS,FERRAZ DE VASCONCELOS,2024,1489,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_eliel_de_souza_ferraz_de_vasconcelos_2024.html
JOÃO BATISTA DE SOUSA,JOÃO PDS,AGIR,FERRAZ DE VASCONCELOS,2024,146,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_joao_batista_de_sousa_ferraz_de_vasconcelos_2024.html
RENATO RAMOS DE SOUZA,RENATINHO SE LIGUE,PL,FERRAZ DE VASCONCELOS,2024,1575,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_renato_ramos_de_souza_ferraz_de_vasconcelos_2024.html
PEDRO GABRIEL DO PRADO,PEDRINHO,PRTB,GUARAREMA,2024,268,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_pedro_gabriel_do_prado_guararema_2024.html
GUILHERME RAFAEL DOS SANTOS JUNQUEIRA REIS,GUILHERME JUNQUEIRA,PMB,GUARATINGUETÁ,2024,10,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_guilherme_rafael_dos_santos_junqueira_reis_guaratingueta_2024.html
MARCELO AUGUSTO DE ASSIS,MARCELO DA SANTA CASA,PSD,GUARATINGUETÁ,2024,1546,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_marcelo_augusto_de_assis_guaratingueta_2024.html
MARCIO DE OLIVEIRA ALMEIDA,MARCIO ALMEIDA,PL,GUARATINGUETÁ,2024,2792,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_marcio_de_oliveira_almeida_guaratingueta_2024.html
PEDRO SANNINI ANDRADE DOS SANTOS,PEDRO SANNINI,PL,GUARATINGUETÁ,2024,1681,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_pedro_sannini_andrade_dos_santos_guaratingueta_2024.html
ROSALICE GALVÃO FILIPPO FERNANDES,ROSA FILIPPO,PSD,GUARATINGUETÁ,2024,692,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_rosalice_galvao_filippo_fernandes_guaratingueta_2024.html
ORLANDO MAURICIO JUNIOR,MAURÍCIO BRINQUINHO,PT,GUARULHOS,2024,2408,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_orlando_mauricio_junior_guarulhos_2024.html
CARLOS ALBERTO DE ANDRADE,CARLÃO DA ILHA,AVANTE,ILHABELA,2024,14,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_carlos_alberto_de_andrade_ilhabela_2024.html
GABRIEL AUGUSTO DE OLIVEIRA SOUZA ROCHA,GABRIEL ROCHA,PL,ILHABELA,2024,761,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_gabriel_augusto_de_oliveira_souza_rocha_ilhabela_2024.html
NANCI PERES DE ARAUJO ZANATO,NANCI ZANATO,PL,ILHABELA,2024,203,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_nanci_peres_de_araujo_zanato_ilhabela_2024.html
THIAGO SOUZA SANTOS,DR THIAGO,REPUBLICANOS,ILHABELA,2024,777,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_thiago_souza_santos_ilhabela_2024.html
ARNÔ RIBEIRO NOVAES,ARNÔ CABELEIREIRO,PL,ITAQUAQUECETUBA,2024,2374,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_arno_ribeiro_novaes_itaquaquecetuba_2024.html
CESAR DINIZ DE SOUZA,CESINHA DA ASSOCIAÇÃO,PL,ITAQUAQUECETUBA,2024,2389,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_cesar_diniz_de_souza_itaquaquecetuba_2024.html
EDSON DE SOUZA MOURA,EDSON MOURA,PL,ITAQUAQUECETUBA,2024,4766,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_edson_de_souza_moura_itaquaquecetuba_2024.html
ROQUE LEVI SANTOS TAVARES,DR. ROQUE,PL,ITAQUAQUECETUBA,2024,3564,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_roque_levi_santos_tavares_itaquaquecetuba_2024.html
