CAIO GUILHERME FERREIRA MELO | ARUJÁ | UNIÃO | 1441 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_caio_guilherme_ferreira_melo_aruja_2024.html
CRISTIANE ARAUJO PEDRO DE OLIVEIRA | ARUJÁ | PSD | 664 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_cristiane_araujo_pedro_de_oliveira_aruja_2024.html
DANILO DA SILVA SANTOS | ARUJÁ | PSD | 2005 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_danilo_da_silva_santos_aruja_2024.html
LEANDRO FRANCO LARINI | ARUJÁ | PL | 1251 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_leandro_franco_larini_aruja_2024.html
PAULO HENRIQUE MAIOLINO | ARUJÁ | PSD | 798 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_paulo_henrique_maiolino_aruja_2024.html
ROBERTO DANIEL DUARTE | ARUJÁ | PODE | 363 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_roberto_daniel_duarte_aruja_2024.html
ROBERTO MARQUES DA SILVA | ARUJÁ | PSD | 857 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_roberto_marques_da_silva_aruja_2024.html
TIAGO SOUZA SANTANA | ARUJÁ | MDB | 557 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_tiago_souza_santana_aruja_2024.html
GENIVALDO LEITE DA CUNHA | BIRITIBA MIRIM | DC | 203 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_genivaldo_leite_da_cunha_biritiba_mirim_2024.html
JUNIEL DA COSTA CAMILO | BIRITIBA MIRIM | PL | 278 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_juniel_da_costa_camilo_biritiba_mirim_2024.html
LUCILÉIA DAMASCENA SANTOS | BIRITIBA MIRIM | PODE | 404 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_lucileia_damascena_santos_biritiba_mirim_2024.html
MARCOS PAULO DE ALMEIDA | BIRITIBA MIRIM | PL | 367 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_marcos_paulo_de_almeida_biritiba_mirim_2024.html
