vereador	nome_oficial	nome_urna	partido	cidade	ano	votos	status_match	score_nome	arquivo	link
ANA LUCIA DOS SANTOS	ANA LUCIA DOS SANTOS	ANA DO ESPORTE	PSD	ARUJÁ	2024	662	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_ana_lucia_dos_santos_aruja_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_ana_lucia_dos_santos_aruja_2024.html
CAIO GUILHERME FERREIRA MELO	CAIO GUILHERME FERREIRA MELO	CAIO MÃOS SOLIDÁRIAS	UNIÃO	ARUJÁ	2024	1441	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_caio_guilherme_ferreira_melo_aruja_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_caio_guilherme_ferreira_melo_aruja_2024.html
CRISTIANE ARAUJO PEDRO DE OLIVEIRA	CRISTIANE ARAUJO PEDRO DE OLIVEIRA	PROFESSORA CRIS	PSD	ARUJÁ	2024	664	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_cristiane_araujo_pedro_de_oliveira_aruja_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_cristiane_araujo_pedro_de_oliveira_aruja_2024.html
ROBERTO DANIEL DUARTE	ROBERTO DANIEL DUARTE	RENAN DE ARUJA	PODE	ARUJÁ	2024	363	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_roberto_daniel_duarte_aruja_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_roberto_daniel_duarte_aruja_2024.html
TIAGO SOUZA SANTANA	TIAGO SOUZA SANTANA	TIAGO URSÃO	MDB	ARUJÁ	2024	557	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_tiago_souza_santana_aruja_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_tiago_souza_santana_aruja_2024.html
CLEITON DA COSTA VIANA	CLEITON DA COSTA VIANA	CLEITINHO	PSB	BIRITIBA MIRIM	2024	168	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_cleiton_da_costa_viana_biritiba_mirim_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_cleiton_da_costa_viana_biritiba_mirim_2024.html
JUNIEL DA COSTA CAMILO	JUNIEL DA COSTA CAMILO	JUKA	PL	BIRITIBA MIRIM	2024	278	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_juniel_da_costa_camilo_biritiba_mirim_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_juniel_da_costa_camilo_biritiba_mirim_2024.html
LUCILÉIA DAMASCENA SANTOS	LUCILÉIA DAMASCENA SANTOS	LUCILÉIA DO VALDIVINO	PODE	BIRITIBA MIRIM	2024	404	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_lucileia_damascena_santos_biritiba_mirim_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_lucileia_damascena_santos_biritiba_mirim_2024.html
MARCOS PAULO DE ALMEIDA	MARCOS PAULO DE ALMEIDA	MARQUINHOS TUCANINHO	PL	BIRITIBA MIRIM	2024	367	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_marcos_paulo_de_almeida_biritiba_mirim_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_marcos_paulo_de_almeida_biritiba_mirim_2024.html
THÁIS BARROS MOLINA	THÁIS BARROS MOLINA	THÁIS RAPOSINHA	PL	BIRITIBA MIRIM	2024	480	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_thais_barros_molina_biritiba_mirim_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_thais_barros_molina_biritiba_mirim_2024.html
ANDRÉ LUIZ DE ARAÚJO	ANDRÉ LUIZ DE ARAÚJO	DEDÉ DA VILA	PP	CACHOEIRA PAULISTA	2024	66	revisar_score_medio	0.7692	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_andre_luiz_de_araujo_cachoeira_paulista_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_andre_luiz_de_araujo_cachoeira_paulista_2024.html
CARLOS ALBERTO CLEMENTE BUCHOLZ	CARLOS ALBERTO CLEMENTE BUCHOLZ	CARLINHOS DO GESSO	PODE	CACHOEIRA PAULISTA	2024	259	revisar_score_medio	0.7115	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_carlos_alberto_clemente_bucholz_cachoeira_paulista_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_carlos_alberto_clemente_bucholz_cachoeira_paulista_2024.html
ALEXANDRO SANTOS ALVES SILVA	ALEXANDRO SANTOS ALVES SILVA	TETECO ALEXANDRO	MDB	FERRAZ DE VASCONCELOS	2024	1377	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_alexandro_santos_alves_silva_ferraz_de_vasconcelos_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_alexandro_santos_alves_silva_ferraz_de_vasconcelos_2024.html
ELIEL DE SOUZA	ELIEL DE SOUZA	ELIEL FOX	REPUBLICANOS	FERRAZ DE VASCONCELOS	2024	1489	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_eliel_de_souza_ferraz_de_vasconcelos_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_eliel_de_souza_ferraz_de_vasconcelos_2024.html
